,-5,-4,-3,-2,-1,0,1,2,3,4,5
AAPL | 2025-05-01,-0.0008567992375783824,-0.00289413627093187,0.0031287439370415297,-0.0007041520675443325,0.00434406376822731,-0.0024005446391913987,-0.05471621653586454,,,,
AAPL | 2025-01-30,-0.0065111848198655415,-0.0021106932000321977,0.044478497529266386,0.027171304708195294,0.008132108529409756,-0.013111194461977192,-0.0028356623433058218,-0.027623667452573563,0.013483490340226214,-0.005866423600018127,-0.0009775022226570628
AAPL | 2024-10-31,-0.0028735074211918435,0.004058852973440968,0.006039316624438537,-0.0003572102469873732,-0.01183600601881858,0.0006764380419214816,-0.017292988276684365,-0.0010879582284220556,-0.005769433937169187,-0.028663105730781506,0.013991761405355789
AAPL | 2024-08-01,0.0008879019188578309,-0.009496891994739716,0.0006112608948911709,0.008063455311344895,-0.0016936679917971334,-0.0019189745608384785,0.026712295145425113,-0.015939861632577136,-0.020618996934925197,0.020961054439679744,-0.007799303007920543
AAPL | 2024-05-02,0.010820349190158087,-0.01267223539562225,0.022680707616862705,-0.0013784804179004344,-0.0015218075369597883,0.013919811380379357,0.04825560412036253,-0.018423725621085005,0.003515559829558876,0.002939745833932088,0.00596321886292229
AAPL | 2024-02-01,-0.007870237195300143,-0.008724964989341806,-0.012269145525968823,-0.01901385863688794,-0.002180705374635529,-0.0007381038159811268,-0.0175062957674169,0.01290411921283504,0.0056822462397074155,-0.008850250684600047,-0.006802891525679942
AAPL | 2023-11-02,-0.00983263761743581,0.01379701965742827,-0.0032501851477275863,-0.005695880978277791,0.005096154981551431,-0.003573819969303487,-0.01740872153805166,0.012096945889627663,0.010559670290856181,0.0043281740421209774,0.007380156543108489
AAPL | 2023-08-03,0.001519890955780966,0.00035598515350750495,0.0009765972208629218,-0.0010760132794263209,0.0022772069686623694,-0.0042746039671783635,-0.041385198115838975,-0.029292491886624705,0.010536280652575902,-5.3039402476882935e-05,-0.0018362998543270874
AAPL | 2023-05-04,0.002405716833750609,-0.0037957702074778114,-0.0006773882173621232,0.008168539618066429,0.0019501025985770044,-0.0012105331089361186,0.022350792327309472,-0.0016359480066914529,-0.004686583156784592,0.0039660126721747695,0.0026450912617554502
AAPL | 2023-02-02,0.0006269512488492127,0.01059473911785643,-0.003028117227016628,-0.009889184924608989,-0.005552045655040748,0.018078411672142785,0.03804509056136153,-0.009771807147631505,0.0026396900183885477,-0.003061706590641037,0.004747907755447714
AAPL | 2022-10-27,0.00547329047581132,-0.004147202103631155,-0.001468591451202931,-0.0024632505064178696,-0.011596813751804413,-0.024080841652462597,0.04320902671746321,-0.007295912916637818,-0.013657121833107876,-0.007060689522702064,-0.03034109002448572
AAPL | 2022-07-28,0.0017194727533484631,0.0031529100060319563,-0.009802753893609286,0.005275126389493319,-5.7168893654632735e-05,-0.012719596678202189,0.01383867284256865,-0.0032454420807511994,-0.0014513328372139037,0.017457147944992014,-0.0016445374833367718
AAPL | 2022-04-28,0.01246396462831554,0.005481315315753674,-0.001142643252446061,-0.00352497987510509,-0.004913137764027891,0.013814676082635903,0.007221322104333371,-0.005885439012283703,0.0028029883725112165,0.0033673409442084093,-0.012672052042431846
AAPL | 2022-01-27,0.004714074524408536,0.013104532471828686,-0.008750339605486653,0.005233395973414941,0.0014073852419765527,0.00436144872766797,0.036288042600046415,0.0001303070828928346,-0.010472109022984665,-0.005966885902129997,0.016663642962849272
AAPL | 2021-10-28,-0.00230438601660327,-0.0035279306128323945,-0.006499035616125637,0.002396577632184918,0.004023278340018338,0.011915441516834938,-0.020510387882134218,-0.007758681798175906,0.0024061751077126894,0.0013050862056998864,-0.00889076347069947
AAPL | 2021-07-27,0.0035631457577903827,-0.016924377610316073,0.007386917438972754,-0.0027243863453248057,9.197443362402458e-05,-0.006817530021842502,-0.011058057613648664,-0.0010482692301949934,0.010657224223911334,0.0013488552430331187,0.000910458121826687
AAPL | 2021-04-28,-0.009702927114410499,5.6329418208819065e-06,0.0032735466414604234,0.00022797335107141263,-0.0025756029285596417,-0.005324905235941029,-0.010041169976123544,-0.006090583840910737,0.004196731124246036,-0.027020901092727576,0.0006226251236515889
AAPL | 2021-01-27,0.015460339052236465,0.03441706015173776,0.01753480189533084,0.021771353881829304,0.0014469692107974374,0.019000248733225228,-0.04773505756063534,-0.017820895287744835,-0.0032304797705792546,-0.011017277399980766,-0.010789892304621497
AAPL | 2020-10-29,-0.01751558646475661,-0.012109023007631777,0.01843147941498819,0.014639634449064928,-0.009538047826206424,0.02169218323338138,-0.044803146447268495,-0.01659408660291674,-0.006463275577844631,0.014331581459893536,0.011843915145103714
AAPL | 2020-07-30,-0.03456933162440174,0.0019055166793115648,0.013534032620814183,-0.011741510608113782,0.003611549613337749,0.013870005522881087,0.09422707997777796,0.015260259971548512,0.0005634110624272047,-0.005507951435797661,0.02575878513317329
AAPL | 2020-04-30,-0.005466584419083144,0.010271332068075054,-0.01882805363403169,-0.012267745963441774,-0.0006527320489962199,0.02970767841735928,0.014682489450335831,0.006923718089598626,0.0021481917538251835,0.016302256478497874,-0.005414594913824695
AAPL | 2020-01-28,-0.004424656255665092,0.0017748292146230668,0.0018197647719216071,0.008480165489413072,-0.00861218977727855,0.012726382112571797,0.02076730573949504,-0.007255874366956128,-0.02076048607536775,-0.014362921398222657,0.010503981402111968
AAPL | 2019-10-30,0.008841426749803254,-0.0014868587170242848,0.00582681208741077,0.001173778465960909,-0.02196498984075405,-0.0053343478843187065,0.027189795100262218,0.013170868680199588,0.000652818655303573,0.0002771793072972326,-0.0008038094246388449
